date,AAPL,AMD,AMZN,CMCSA,COST,CSCO,CVX,EMLP,FSTA,GDX,GDXJ,GLD,GOOGL,GS,HYG,IBB,INTC,IYR,JNK,JPM,KXI,LQD,META,MSFT,NVDA,ORCL,PG,QQQ,SIVR,SLV,SPY,T,TMF,TTWO,UPRO,USO,UWT,VDC,VDE,VHT,VNQ,VOO,VTI,VZ,WFC,WMT,XOM
2012-02-16,17.9361,7.5900,8.9965,13.4255,84.0500,20.1900,106.5200,,,54.9500,112.8000,168.0000,15.1782,114.7400,90.6000,40.5000,26.8300,61.0300,118.2300,38.0000,34.0950,116.1900,,31.2900,0.4112,28.9500,65.2000,63.6300,33.2700,32.5700,136.0500,22.6737,158.9250,15.6100,3.1675,314.2400,,83.1300,108.8200,65.2000,62.3000,124.4600,70.2700,38.0500,30.3700,20.6800,85.4100
2012-02-17,17.9329,7.4200,9.1250,13.6692,84.4700,20.2900,106.6600,,,54.1500,111.3600,167.3500,15.1311,115.9100,90.5700,39.6800,27.3700,61.1300,118.3500,38.4700,34.1600,116.0100,,31.2500,0.3963,28.7900,64.9100,63.4300,32.9400,32.2800,136.4100,22.6662,158.7000,15.3400,3.1975,318.0000,,83.1900,109.1800,64.8800,62.3500,124.7600,70.3700,38.4600,31.0900,20.8267,85.6200
2012-02-21,18.3875,7.2800,9.1130,13.6223,84.2600,20.3600,108.4100,,,55.8200,115.4000,171.0200,15.3654,116.6300,90.9100,38.9167,27.1600,60.3700,118.7400,38.4600,34.0100,115.8200,,31.4400,0.3983,28.7400,64.4200,63.6100,34.0900,33.3800,136.4700,22.9154,153.4000,15.2000,3.2025,324.6400,,82.8100,109.8500,64.4000,61.3800,124.8400,70.3400,38.4900,30.9600,20.0233,86.5700
2012-02-22,18.3229,7.1400,9.0290,13.7207,84.3100,20.1200,107.5000,,,56.8300,117.8800,172.9400,15.2137,114.3600,91.2000,38.9000,26.7300,59.8800,119.0400,38.0700,33.9550,116.5400,,31.2700,0.3955,28.5500,64.4400,63.3200,34.1700,33.4400,136.0300,22.8701,159.0250,15.4100,3.1662,324.7200,,82.7300,110.0600,64.3500,60.8600,124.4200,70.1200,38.2100,30.5900,19.5333,86.9200
2012-02-23,18.4425,7.2900,8.9445,13.9691,84.7700,20.2300,108.3500,,,57.2600,118.2800,173.0200,15.1679,115.8000,91.5300,39.7733,26.6600,60.5800,119.7600,38.4900,34.1350,116.7000,,31.3700,0.3977,28.8100,66.4200,63.7400,35.1000,34.4000,136.6300,23.0060,159.0750,15.5600,3.2142,330.9600,,83.1100,110.7600,64.6300,61.6200,125.0200,70.5100,38.1300,30.6500,19.5133,87.0200
2012-02-24,18.6575,7.4600,8.9565,13.6785,84.4000,20.1400,109.0800,,,56.4600,117.6400,172.2300,15.2628,115.8700,91.8100,39.8200,26.7000,60.7500,119.8800,38.2800,34.2000,116.7900,,31.4800,0.3947,29.2500,66.7100,63.9600,35.1100,34.3700,136.9300,22.9154,162.1000,15.5700,3.2304,336.0800,,83.2900,111.1600,64.9000,61.7000,125.2000,70.6100,38.1400,30.1800,19.5967,87.3400
2012-02-27,18.7771,7.4700,8.9265,13.6785,85.0900,20.1700,109.6300,,,56.0600,116.0000,171.7000,15.2480,116.2300,91.8300,39.8100,26.8900,60.6800,119.8200,39.0600,34.1800,117.2200,,31.3500,0.3868,29.2600,66.7000,64.0500,35.1000,34.3600,137.1600,22.9305,166.6500,15.5900,3.2450,329.4400,,83.2800,110.7900,64.9700,61.6000,125.4200,70.6700,38.1300,31.0300,19.4867,87.2300
2012-02-28,19.1218,7.5200,9.1900,13.7629,85.2700,20.2000,109.6100,,,57.3300,117.7200,173.4900,15.4752,117.1100,92.0100,39.9267,27.2400,60.2200,120.2400,39.2100,34.3050,117.5900,,31.8700,0.3832,29.3900,67.3900,64.7000,36.6100,35.8300,137.5600,23.0589,165.0000,15.5800,3.2758,326.3200,,83.4900,110.4000,65.2100,61.2400,125.8600,70.8700,38.1500,31.3700,19.6433,87.1400
2012-02-29,19.3729,7.3500,8.9845,13.7816,86.0600,19.8800,109.1200,,,55.4000,111.6800,164.2900,15.4717,115.1400,92.1300,39.6867,26.8800,60.1400,120.2700,39.2400,34.3150,117.7000,,31.7400,0.3787,29.2500,67.6200,64.4100,34.2400,33.5500,137.0200,23.1042,162.1250,15.4500,3.2325,327.3600,,83.7100,109.1200,64.8300,60.9900,125.1800,70.4100,38.1100,31.2900,19.6933,86.5000
2012-03-01,19.4454,7.5100,9.0020,13.8004,86.1600,19.8800,109.7600,,,55.8900,113.2400,166.6100,15.5756,121.1300,91.7500,40.1433,26.8600,60.4600,119.6400,40.3700,34.4500,117.0200,,32.2900,0.3812,29.8300,66.6600,64.9200,35.1800,34.4400,137.7300,23.1344,157.5500,15.5200,3.2900,334.0000,,83.6200,110.2800,65.1600,61.3600,126.0000,70.9500,38.4300,31.5400,19.6067,86.8300
